instance_name,instance_type,runs,successful_runs,feasible_runs,feasible_rate,algorithms_tested,seeds_tested,best_observed_objective,best_algorithm_ids,fastest_observed_wall_time_ms,fastest_algorithm_ids,depot_count,customer_count,salesman_count,return_to_depot,median_wall_time_ms,p90_wall_time_ms
g03h_i03_c500_d2_m4_hard_adversarial,adversarial,13,13,13,1.0,13,1,13016.50698696393,lkh_mdmtsp_v4_portfolio,0.485,nearest_neighbour,2,500,4,True,230.727,9167.272000000003
g03h_i04_c500_d3_m5_hard_adversarial,adversarial,13,13,13,1.0,13,1,12621.459013173793,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio",0.511,nearest_neighbour,3,500,5,True,162.478,9442.634600000001
g03h_i05_c500_d3_m6_hard_adversarial,adversarial,13,13,13,1.0,13,1,11606.358858525711,lkh_mdmtsp_v5_portfolio,0.465,nearest_neighbour,3,500,6,True,178.994,9633.5138
g03h_i06_c500_d2_m4_hard_adversarial,adversarial,13,13,13,1.0,13,1,14183.24445907932,lkh_mdmtsp_v5_portfolio,0.478,nearest_neighbour,2,500,4,True,124.118,9236.376200000002
g03h_i07_c500_d3_m5_hard_adversarial,adversarial,13,13,13,1.0,13,1,12353.548883224363,lkh_mdmtsp_v5_portfolio,0.482,nearest_neighbour,3,500,5,True,139.478,9408.825000000003
g03h_i08_c500_d2_m4_hard_adversarial,adversarial,13,13,13,1.0,13,1,7618.593450223702,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio",0.463,nearest_neighbour,2,500,4,True,30.315,7414.402
g03h_i09_c500_d3_m5_hard_adversarial,adversarial,13,13,13,1.0,13,1,7448.74508446,lkh_mdmtsp_v5_portfolio,0.489,nearest_neighbour,3,500,5,True,44.803,7785.164400000001
g03h_i10_c500_d2_m4_hard_adversarial,adversarial,13,13,13,1.0,13,1,7827.02934363953,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio",0.48,nearest_neighbour,2,500,4,True,26.002,7416.6752
g03h_i11_c500_d3_m5_hard_adversarial,adversarial,13,13,13,1.0,13,1,7595.280640860918,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio",0.477,nearest_neighbour,3,500,5,True,127.638,9412.2582
g03h_i12_c500_d2_m4_hard_adversarial,adversarial,13,13,13,1.0,13,1,7552.5621092544025,lkh_mdmtsp_v5_portfolio,0.477,nearest_neighbour,2,500,4,True,35.565,7416.2608
g03h_i13_c500_d3_m5_hard_adversarial,adversarial,13,13,13,1.0,13,1,10289.95773183967,lkh_mdmtsp_v5_portfolio,0.464,nearest_neighbour,3,500,5,True,130.065,9420.364200000002
g03h_i14_c500_d2_m4_hard_adversarial,adversarial,13,13,13,1.0,13,1,10287.355003602235,lkh_mdmtsp_v5_portfolio,0.508,nearest_neighbour,2,500,4,True,78.044,9121.213800000001
g03h_i15_c500_d3_m5_hard_adversarial,adversarial,13,13,13,1.0,13,1,10147.634131752622,lkh_mdmtsp_v5_portfolio,0.499,nearest_neighbour,3,500,5,True,82.742,9453.520200000003
g03h_i16_c500_d2_m4_hard_adversarial,adversarial,13,13,13,1.0,13,1,10423.47177657238,lkh_mdmtsp_v5_portfolio,0.478,nearest_neighbour,2,500,4,True,39.228,7440.6614
g03h_i17_c500_d3_m5_hard_adversarial,adversarial,13,13,13,1.0,13,1,10681.852721016956,lkh_mdmtsp_v5_portfolio,0.521,nearest_neighbour,3,500,5,True,88.176,9414.6064
g03h_i18_c500_d3_m6_hard_adversarial,adversarial,13,13,13,1.0,13,1,10229.588110563127,lkh_mdmtsp_v4_portfolio,0.658,nearest_neighbour,3,500,6,True,129.053,9452.299400000002
g03h_i19_c500_d2_m5_hard_adversarial,adversarial,13,13,13,1.0,13,1,10404.81269271418,lkh_mdmtsp_v4_portfolio,0.516,nearest_neighbour,2,500,5,True,263.204,9404.104400000002
g03h_i20_c500_d3_m6_hard_adversarial,adversarial,13,13,13,1.0,13,1,9817.699896898053,lkh_mdmtsp_v5_portfolio,0.582,nearest_neighbour,3,500,6,True,131.599,9453.180000000002
g03h_i21_c500_d2_m5_hard_adversarial,adversarial,13,13,13,1.0,13,1,10010.828486649467,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio",0.489,nearest_neighbour,2,500,5,True,731.715,9337.394200000002
g03h_i22_c500_d2_m4_hard_adversarial,adversarial,13,13,13,1.0,13,1,9439.899291828271,lkh_mdmtsp_v5_portfolio,0.51,nearest_neighbour,2,500,4,True,194.354,9129.851400000001
g03h_i23_c500_d3_m5_hard_adversarial,adversarial,13,13,13,1.0,13,1,10499.653750112131,lkh_mdmtsp_v5_portfolio,0.563,nearest_neighbour,3,500,5,True,90.841,9281.0138
g03h_i24_c500_d2_m4_hard_adversarial,adversarial,13,13,13,1.0,13,1,9902.325777326505,lkh_mdmtsp_v5_portfolio,0.506,nearest_neighbour,2,500,4,True,136.045,9122.158400000002
g03h_i25_c500_d3_m5_hard_adversarial,adversarial,13,13,13,1.0,13,1,9864.866126557283,lkh_mdmtsp_v5_portfolio,0.635,nearest_neighbour,3,500,5,True,81.461,9306.050200000001
group_03_instance_01_customers_500_depots_5_salesmen_21_random,random,21,21,21,1.0,13,1,19212.430248617406,lkh_mdmtsp_v4_portfolio,0.468,nearest_neighbour,5,500,21,True,1.547,9940.684
group_03_instance_02_customers_500_depots_3_salesmen_10_random,random,20,20,20,1.0,13,1,20269.93019674847,lkh_mdmtsp_v4_portfolio,0.483,nearest_neighbour,3,500,10,True,1.996,9427.066800000004
group_03_instance_03_customers_500_depots_3_salesmen_12_random,random,20,20,20,1.0,13,1,19720.41260903522,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio",0.475,nearest_neighbour,3,500,12,True,1.76,9436.737200000003
group_03_instance_04_customers_500_depots_5_salesmen_19_random,random,20,20,20,1.0,13,1,19843.199370433354,lkh_mdmtsp_v4_portfolio,0.467,nearest_neighbour,5,500,19,True,1.456,10199.797200000005
group_03_instance_05_customers_500_depots_3_salesmen_6_random,random,20,20,20,1.0,13,1,19473.78076960064,lkh_mdmtsp_v5_portfolio,0.472,nearest_neighbour,3,500,6,True,2.5025,8251.604200000003
group_03_instance_06_customers_500_depots_3_salesmen_3_random,random,20,20,20,1.0,13,1,19431.834830558386,cheapest_insertion_vnd,0.536,nearest_neighbour,3,500,3,True,11.993,7614.416800000004
group_03_instance_07_customers_500_depots_5_salesmen_20_random,random,20,20,20,1.0,13,1,20065.97437437513,lkh_mdmtsp_v5_portfolio,0.457,nearest_neighbour,5,500,20,True,1.5045000000000002,10447.470100000006
group_03_instance_08_customers_500_depots_3_salesmen_7_random,random,20,20,20,1.0,13,1,19907.139122939778,lkh_mdmtsp_v5_portfolio,0.459,nearest_neighbour,3,500,7,True,2.6595,8325.3428
group_03_instance_09_customers_500_depots_4_salesmen_8_random,random,20,20,20,1.0,13,1,19101.29197852894,lkh_mdmtsp_v4_portfolio,0.494,nearest_neighbour,4,500,8,True,1.9635,9120.552200000002
group_03_instance_10_customers_500_depots_5_salesmen_18_random,random,20,20,20,1.0,13,1,19336.64451144225,lkh_mdmtsp_v5_portfolio,0.489,nearest_neighbour,5,500,18,True,1.473,10047.104900000004
g03t_i01_c750_d4_m5_trap,,13,13,13,1.0,13,1,13872.210242714484,lkh_mdmtsp_v5_portfolio,1.247,nearest_neighbour,4,750,5,True,252.004,30349.639800000004
g03t_i02_c750_d3_m4_trap,,13,13,13,1.0,13,1,13887.92179386642,lkh_mdmtsp_v5_portfolio,1.174,nearest_neighbour,3,750,4,True,210.872,29854.994000000006
g03t_i03_c750_d2_m3_trap,,13,13,13,1.0,13,1,13450.37342218664,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio",1.091,nearest_neighbour,2,750,3,True,143.833,29149.874200000006
g03t_i04_c750_d4_m5_trap,,13,13,13,1.0,13,1,13873.915491815122,lkh_mdmtsp_v5_portfolio,1.047,nearest_neighbour,4,750,5,True,310.69,31118.923200000005
g03t_i05_c750_d3_m4_trap,,13,13,13,1.0,13,1,13725.493286681167,lkh_mdmtsp_v5_portfolio,1.156,nearest_neighbour,3,750,4,True,234.241,30578.771400000005
g03t_i06_c750_d2_m3_trap,,13,13,13,1.0,13,1,14473.656996469877,lkh_mdmtsp_v4_portfolio,1.046,nearest_neighbour,2,750,3,True,132.556,29131.111800000002
g03t_i07_c750_d4_m5_trap,,13,13,13,1.0,13,1,13531.982206323582,lkh_mdmtsp_v5_portfolio,1.017,nearest_neighbour,4,750,5,True,375.084,31382.367800000007
g03t_i08_c750_d4_m5_trap,,13,13,13,1.0,13,1,17396.668276660483,lkh_mdmtsp_v5_portfolio,1.442,nearest_neighbour,4,750,5,True,204.398,30658.178400000004
g03t_i09_c750_d3_m4_trap,,13,13,13,1.0,13,1,16982.345811602136,lkh_mdmtsp_v5_portfolio,1.087,nearest_neighbour,3,750,4,True,214.344,29636.511800000007
g03t_i10_c750_d2_m3_trap,,13,13,13,1.0,13,1,16969.474262986074,lkh_mdmtsp_v5_portfolio,1.069,nearest_neighbour,2,750,3,True,118.238,29225.348000000005
g03t_i11_c750_d4_m5_trap,,13,13,13,1.0,13,1,17282.47498070866,lkh_mdmtsp_v5_portfolio,1.157,nearest_neighbour,4,750,5,True,223.666,30838.336000000007
g03t_i12_c750_d3_m4_trap,,13,13,13,1.0,13,1,17458.849774252514,lkh_mdmtsp_v5_portfolio,1.122,nearest_neighbour,3,750,4,True,220.28,29725.472000000005
g03t_i13_c750_d2_m3_trap,,13,13,13,1.0,13,1,17438.186545024146,lkh_mdmtsp_v5_portfolio,1.142,nearest_neighbour,2,750,3,True,138.407,29295.363000000005
