algorithm_id,instance_name,instance_type,runs,successful_runs,feasible_runs,feasible_rate,suite_names,depot_count,customer_count,salesman_count,return_to_depot,best_objective,mean_objective,median_objective,min_gap_to_best_observed,mean_gap_to_best_observed,median_gap_to_best_observed,min_time_ratio_to_fastest,mean_time_ratio_to_fastest,median_time_ratio_to_fastest,min_time_gap_to_fastest,mean_time_gap_to_fastest,median_time_gap_to_fastest,total_wall_time_s,mean_wall_time_ms,median_wall_time_ms,p90_wall_time_ms,median_wall_time_per_customer_us
nearest_neighbour_2opt_v2,g03_i16_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,23546.29804809625,23546.29804809625,23546.29804809625,0.7941817990631422,0.7941817990631422,0.7941817990631422,1.705765407554672,1.705765407554672,1.705765407554672,0.705765407554672,0.705765407554672,0.705765407554672,0.000858,0.858,0.858,0.858,1.716
random_insertion,g03_i16_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,13123.696863044363,13123.696863044363,13123.696863044363,0.0,0.0,0.0,1.9761431411530814,1.9761431411530814,1.9761431411530814,0.9761431411530815,0.9761431411530815,0.9761431411530815,0.000994,0.994,0.994,0.994,1.988
cheapest_insertion,g03_i17_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,25468.560884377654,25468.560884377654,25468.560884377654,0.9642706603819597,0.9642706603819597,0.9642706603819597,3.6875,3.6875,3.6875,2.6875,2.6875,2.6875,0.00177,1.77,1.77,1.77,3.54
cheapest_insertion_2opt,g03_i17_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,25016.248123981983,25016.248123981983,25016.248123981983,0.9293858983965829,0.9293858983965829,0.9293858983965829,4.322916666666667,4.322916666666667,4.322916666666667,3.3229166666666665,3.3229166666666665,3.3229166666666665,0.002075,2.075,2.075,2.075,4.15
cheapest_insertion_tabu,g03_i17_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,24481.984753269757,24481.984753269757,24481.984753269757,0.8881806701635846,0.8881806701635846,0.8881806701635846,4.879166666666666,4.879166666666666,4.879166666666666,3.879166666666667,3.879166666666667,3.879166666666667,0.002342,2.342,2.342,2.342,4.684
cheapest_insertion_vnd,g03_i17_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,21496.724909068227,21496.724909068227,21496.724909068227,0.6579415784378185,0.6579415784378185,0.6579415784378185,19166.033333333333,19166.033333333333,19166.033333333333,19165.033333333333,19165.033333333333,19165.033333333333,9.199696,9199.696,9199.696,9199.696,18399.392
nearest_neighbour,g03_i17_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,27253.744275159308,27253.744275159308,27253.744275159308,1.1019534832879259,1.1019534832879259,1.1019534832879259,1.0,1.0,1.0,0.0,0.0,0.0,0.00047999999999999996,0.48,0.48,0.48,0.96
nearest_neighbour_2opt,g03_i17_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,26315.78255835783,26315.78255835783,26315.78255835783,1.0296128948566117,1.0296128948566117,1.0296128948566117,1.5916666666666666,1.5916666666666666,1.5916666666666666,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.000764,0.764,0.764,0.764,1.528
nearest_neighbour_2opt_v2,g03_i17_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,24851.860627121376,24851.860627121376,24851.860627121376,0.9167074616964164,0.9167074616964164,0.9167074616964164,1.8166666666666667,1.8166666666666667,1.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.0008719999999999999,0.872,0.872,0.872,1.744
random_insertion,g03_i17_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,12965.9121820947,12965.9121820947,12965.9121820947,0.0,0.0,0.0,2.035416666666667,2.035416666666667,2.035416666666667,1.0354166666666667,1.0354166666666667,1.0354166666666667,0.000977,0.977,0.977,0.977,1.954
